iter	Passed	Remaining
179	115444	141099
180	116022	140381
181	116595	139658
182	117168	138936
183	117746	138224
184	118315	137501
185	118887	136784
186	119456	136065
187	120097	135429
188	120715	134767
189	121395	134173
190	121958	133451
191	122523	132733
192	123080	132008
193	123636	131284
194	124190	130559
195	124739	129831
196	125299	129115
197	125856	128398
198	126418	127688
199	126978	126978
200	127556	126287
201	128115	125578
202	128671	124868
203	129223	124155
204	129775	123445
205	130329	122737
206	130886	122033
207	131448	121337
208	132020	120650
209	132576	119950
210	133134	119252
211	133685	118551
212	134237	117852
213	134793	117157
214	135347	116462
215	135909	115774
216	136462	115081
217	137147	114498
218	137688	113797
219	138236	113102
220	138800	112422
221	139354	111734
222	139901	111043
223	140450	110353
224	141004	109669
225	141564	108992
226	142112	108305
227	142658	107619
228	143211	106939
229	143758	106256
230	144300	105570
231	144849	104890
232	145394	104209
233	145964	103547
234	146503	102864
235	147058	102193
236	147614	101523
237	148180	100862
238	148737	100195
239	149283	99522
240	149835	98853
241	150381	98183
242	150926	97511
243	151476	96845
244	152029	96182
245	152578	95516
246	153144	94862
247	153686	94195
248	154249	93540
249	154800	92880
250	155352	92221
251	155902	91561
252	156449	90901
253	156999	90243
254	157551	89587
255	158101	88932
256	158649	88275
257	159201	87622
258	159745	86965
259	160291	86310
260	160855	85666
261	161508	85069
262	162214	84499
263	162817	83875
264	163346	83214
265	163901	82566
266	164486	81935
267	165106	81321
268	165857	80770
269	166406	80121
270	166986	79487
271	167538	78841
272	168099	78200
273	168661	77559
274	169209	76913
275	169764	76270
276	170316	75627
277	170871	74986
278	171427	74346
279	171978	73705
280	172533	73065
281	173099	72431
282	173662	71796
283	174218	71159
284	174778	70524
285	175333	69888
286	175886	69251
287	176436	68614
288	177001	67983
289	177559	67350
290	178112	66715
291	178667	66082
292	179230	65452
293	179780	64818
294	180334	64186
295	180876	63551
296	181437	62922
297	181986	62290
298	182551	61664
299	183106	61035
300	183697	60418
301	184303	59807
302	184868	59182
303	185429	58556
304	185984	57929
305	186544	57304
306	187100	56678
307	187656	56053
308	188208	55427
309	188764	54802
310	189321	54178
311	189885	53557
312	190442	52934
313	191001	52312
314	191561	51691
315	192114	51068
316	192671	50447
317	193231	49826
318	193793	49207
319	194350	48587
320	194908	47968
321	195469	47349
322	196030	46731
323	196587	46113
324	197169	45500
325	197724	44882
326	198279	44264
327	198839	43647
328	199400	43031
329	199962	42416
330	200532	41802
331	201090	41187
332	201652	40572
333	202212	39958
334	202775	39344
335	203332	38730
336	203895	38117
337	204459	37504
338	205033	36893
339	205745	36308
340	206361	35704
341	206941	35095
342	207521	34486
343	208105	33877
344	208767	33281
345	209367	32675
346	210090	32088
347	210678	31480
348	211262	30872
349	211851	30264
350	212427	29655
351	213006	29046
352	213573	28436
353	214143	27826
354	214710	27216
355	215290	26608
356	215860	26000
357	216431	25391
358	217019	24784
359	217611	24179
360	218191	23571
361	218894	22977
362	219596	22383
363	220236	21781
364	220857	21178
365	221430	20570
366	222018	19963
367	222616	19357
368	223227	18753
369	223855	18150
370	224466	17545
371	225048	16939
372	225680	16336
373	226274	15730
374	226869	15124
375	227464	14518
376	228142	13918
377	228722	13311
378	229310	12705
379	229884	12099
380	230471	11493
381	231059	10887
382	231634	10281
383	232219	9675
384	232802	9070
385	233403	8465
386	233994	7860
387	234586	7255
388	235178	6650
389	235752	6044
390	236339	5440
391	236913	4834
392	237493	4230
393	238078	3625
394	238659	3021
395	239239	2416
396	239855	1812
397	240579	1208
